film_id,display_title,release_year,release_month_num,primary_genre,secondary_genre,sequel_flag,director,lead_actor_1,lead_actor_2,production_house,actor_rank_score,actor_tier_proxy,director_rank_score,director_tier_proxy,budget_cr,worldwide_gross_cr,verdict_raw,financial_data_confidence
BOLLY_2010_0030_right_yaaa_wrong,Right Yaaa Wrong,2010,3,Thriller,,No,Neeraj Pathak,Sunny Deol,Irrfan Khan,,3.3809,D,,,,,,Missing/Partial
BOLLY_2010_0031_trump_card,Trump Card,2010,,Thriller,,No,Arshad Khan,,,,,,2.1402,D,,,hitFlop=1,Missing/Partial
BOLLY_2010_0032_lahore,Lahore,2010,3,Action,,No,Sanjay Puran Singh Chauhan,Aanaahad,Shraddha Das,Warner Bros. Pictures,,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0033_love_sex_aur_dhokha,Love Sex Aur Dhokha,2010,3,Drama,,No,Dibakar Banerjee,,,Balaji Motion Pictures,,,2.863,D,2,9.8,hitFlop=5,High
BOLLY_2010_0034_shaapit,Shaapit,2010,3,Romance,,No,Vikram Bhatt,Aditya Narayan,Rahul Dev,ASA Productions & Enterprises,,D,2.9028,D,,,,Missing/Partial
BOLLY_2010_0035_hum_tum_aur_ghost,Hum Tum Aur Ghost,2010,3,Drama,,No,Kabeer Kaushik,Arshad Warsi,Dia Mirza,"Indian Films, Studio 18",3.5596,D,1.2309,D,21,8.01,hitFlop=1,High
BOLLY_2010_0036_mittal_v_s_mittal,Mittal v/s Mittal,2010,3,Drama,,No,Karan Razdan,Rituparna Sengupta,Rohit Roy,,1,D,1.4335,D,,,hitFlop=1,Missing/Partial
BOLLY_2010_0037_my_friend_ganesha_3,My Friend Ganesha 3,2010,7,Action,,No,Rajiv S. Ruia,Baba Sehgal,Sayaji Shinde,"Baba Arts, Liquid Pictures",,D,1.1221,D,,1.59,hitFlop=1,Low
BOLLY_2010_0038_prem_kaa_game,Prem Kaa Game,2010,2,Comedy,,No,Ashok Kheny,Arbaaz Khan,Tara Sharma,,2.5366,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0039_well_done_abba,Well Done Abba,2010,3,Comedy,,No,Shyam Benegal,Boman Irani,Minissha Lamba,Reliance Big Pictures,3.6468,D,,,,,,Missing/Partial
BOLLY_2010_0040_pankh,Pankh,2010,4,Drama,,No,Sudipto Chattopadhyaya,Bipasha Basu,Maradona Rebello,,4.5712,D,,,5.5,0.20249999999999999,hitFlop=1,High
BOLLY_2010_0041_sadiyaan,Sadiyaan,2010,4,Drama,,No,Raj Kanwar,Luv Sinha,Ferena Wazeir,,,,3.0499,D,,,,Missing/Partial
BOLLY_2010_0042_tum_milo_toh_sahi,Tum Milo Toh Sahi,2010,4,Drama,,No,Kabir Sadanand,Nana Patekar,Dimple Kapadia,,4.0525,D,1.2486,D,,3.52,hitFlop=1,Low
BOLLY_2010_0043_jaane_kahan_se_aayi_hai,Jaane Kahan Se Aayi Hai,2010,4,Comedy,,No,Milap Zaveri,Riteish Deshmukh,Jacqueline Fernandez,Warner Bros. Pictures,,C,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0044_prince,Prince,2010,4,Action,,No,Kookie Gulati,Vivek Oberoi,Aruna Shields,,3.486,D,,,,,hitFlop=2,Missing/Partial
BOLLY_2010_0045_the_japanese_wife,The Japanese Wife,2010,4,Drama,,No,Aparna Sen,Rahul Bose,Raima Sen,,2.3217,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0046_paathshaala,Paathshaala,2010,4,Drama,,No,Milind Ukey,Shahid Kapoor,Nana Patekar,Eros International,5.7659,C,2.6208,D,14,17,hitFlop=2,High
BOLLY_2010_0047_phoonk_2,Phoonk 2,2010,4,Horror,,No,Milind Gadagkar,Sudeep,Neeru Bajwa,,,A,,,8,9.24,hitFlop=2,High
BOLLY_2010_0048_apartment,Apartment,2010,4,Drama,,No,Jagmohan Mundhra,Rohit Roy,Tanushree Dutta,,,D,,,,,,Missing/Partial
BOLLY_2010_0049_city_of_gold,City of Gold,2010,4,Drama,,No,Mahesh Manjrekar,Vineet Kumar,Sameer Dharmadhikari,DAR Motion Pictures,,,1.4664,D,,,,Missing/Partial
BOLLY_2010_0050_kuchh_kariye,Kuchh Kariye,2010,,Drama,,No,Jagbir Dahiya,Sukhwinder Singh,,,,,,,,,,Missing/Partial
BOLLY_2010_0051_muskurake_dekh_zara,Muskurake Dekh Zara,2010,3,Drama,,No,Som Shekar,Gashmeer Mahajani,Hiten Paintal,,,,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0052_chase,Chase,2010,4,Action,,No,Jagmohan Mundhra,Udita Goswami,Caterina Murino,,,D,,,,5,hitFlop=1,Low
BOLLY_2010_0053_badmaash_company,Badmaash Company,2010,5,Comedy,,No,Parmeet Sethi,Shahid Kapoor,Anushka Sharma,Yash Raj Films,5.7659,C,,,21,53,hitFlop=4,High
BOLLY_2010_0054_bumm_bumm_bole,Bumm Bumm Bole,2010,5,Drama,,No,Priyadarshan,Darsheel Safary,Kaveri Jha,Percept Pictures,,,3.8472,D,7,1.34,hitFlop=1,High
BOLLY_2010_0055_kushti,Kushti,2010,5,Comedy,,No,T K Rajeev Kumar,Rajpal Yadav,Khali,,2.3783,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0056_kites,Kites,2010,5,Action,,No,Anurag Basu,Hrithik Roshan,Barbara Mori,Reliance Big Pictures,8.2519,D,5.1314,C,82,65,hitFlop=1,High
BOLLY_2010_0057_ek_second_jo_zindagi_badal_de,Ek Second... Jo Zindagi Badal De?,2010,6,Comedy,,No,Partho Ghosh,Jackie Shroff,Manisha Koirala,,2.6163,D,,,2.75,0.44,hitFlop=1,High
BOLLY_2010_0058_raavan,Raavan,2010,6,Action,,No,Mani Ratnam,Vikram,Abhishek Bachchan,"Reliance Big Pictures, Madras Talkies",,D,4.8812,D,55,49.5,hitFlop=1,High
BOLLY_2010_0059_mr_singh_mrs_mehta,Mr. Singh Mrs. Mehta,2010,6,Drama,,No,Pravesh Raman,Aruna Shields,Prashant Narayanan,,,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0060_milenge_milenge,Milenge Milenge,2010,7,Drama,,No,Satish Kaushik,Kareena Kapoor,Shahid Kapoor,"Sahara One Motion Pictures, Eros International",8.0906,D,2.6808,D,,,hitFlop=2,Missing/Partial
BOLLY_2010_0061_lamhaa,Lamhaa,2010,7,Action,,No,Rahul Dholakia,Sanjay Dutt,Bipasha Basu,PVR Pictures,5.0026,C,,,,,,Missing/Partial
BOLLY_2010_0062_tere_bin_laden,Tere Bin Laden,2010,7,Comedy,,No,Abhishek Sharma,Ali Zafar,Sugandha Garg,Walkwater Media,2.5332,D,,,,,hitFlop=3,Missing/Partial
BOLLY_2010_0063_udaan,Udaan,2010,7,Drama,,No,Vikramaditya Motwane,Ronit Roy,,UTV Spotboy,,,,,5,33.5,hitFlop=5,High
BOLLY_2010_0064_aisha,Aisha,2010,8,Comedy,,No,Rajshree Ojha,Sonam Kapoor,Abhay Deol,PVR Pictures,5.488,B,,,12,28.65,hitFlop=4,High
BOLLY_2010_0065_help,Help,2010,8,Horror,,No,Rajeev Virani,Bobby Deol,Mugdha Godse,,2.4272,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0066_peepli_live,Peepli Live,2010,8,Drama,,No,Anusha Rizvi,Omkar Das Manikpuri,Raghubir Yadav,UTV Motion Pictures,2.1151,D,,,10,46.85,hitFlop=5,High
BOLLY_2010_0067_lafangey_parindey,Lafangey Parindey,2010,8,Drama,,No,Pradeep Sarkar,Neil Nitin Mukesh,Deepika Padukone,Yash Raj Films,2.7445,D,2.2519,D,,22.7,hitFlop=3,Low
BOLLY_2010_0068_and_once_again,...And Once Again,2010,8,Drama,,No,Amol Palekar,Antara Mali,Rajat Kapoor,,2.6169,D,,,,,,Missing/Partial
BOLLY_2010_0069_hello_darling,Hello Darling,2010,8,Comedy,,No,Manoj Tiwari,Celina Jaitly,Isha Koppikar,Mukta Arts,,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0070_antardwand,Antardwand,2010,8,Social,,No,Sushil Rajpal,Raja Chaudhary,Vinay Pathak,,,D,,,1.5,,,Low
BOLLY_2010_0071_aashayein,Aashayein,2010,8,Drama,,No,Nagesh Kukunoor,John Abraham,Sonal Sehgal,Percept Pictures,7.1193,D,1.4685,D,,2.2,hitFlop=1,Low
BOLLY_2010_0072_soch_lo,Soch Lo,2010,8,Mystery,,No,Sartaj Singh Pannu,Bhupinder Singh,,,,,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0073_we_are_family,We Are Family,2010,9,Comedy,,No,Siddharth Malhotra,Arjun Rampal,Kajol,"UTV Motion Pictures, Columbia Pictures, Dharma Productions",3.8011,D,,,,,hitFlop=2,Missing/Partial
BOLLY_2010_0074_mallika,Mallika,2010,9,Horror,,No,Wilson Louis,Sameer Dattani,Himanshu Malik,,,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0075_the_film_emotional_atyachar,The Film Emotional Atyachar,2010,9,Comedy,,No,Akshay Shere,Kalki Koechlin,Vinay Pathak,,3.9852,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0076_benny_and_babloo,Benny and Babloo,2010,10,Drama,,No,Yunus Sajawal,Kay Kay Menon,Rajpal Yadav,,2.6256,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0077_crook,Crook,2010,10,Action,,No,Mohit Suri,Emraan Hashmi,Neha Sharma,Vishesh Films,4.721,D,4.931,D,17.5,12.4,hitFlop=1,High
BOLLY_2010_0078_do_dooni_chaar,Do Dooni Chaar,2010,10,Comedy,,No,Habib Faisal,Rishi Kapoor,Neetu Singh,Walt Disney Pictures,4.4084,B,2.7399,D,,,hitFlop=2,Missing/Partial
BOLLY_2010_0079_aakrosh,Aakrosh,2010,10,Action,,No,Priyadarshan,Ajay Devgn,Akshaye Khanna,"Eros International, Zee Motion Pictures",6.8713,C,3.8472,D,38,19.4,hitFlop=1,High
BOLLY_2010_0080_knock_out,Knock Out,2010,10,Action,,No,Mani Shankar,Sanjay Dutt,Kangana Ranaut,,5.0026,C,2.3406,D,,6.2,hitFlop=1,Low
BOLLY_2010_0081_kajraare,Kajraare,2010,10,Drama,,No,Pooja Bhatt,Himesh Reshammiya,Sara Loren,T-Series Films,1.5575,D,3.0934,D,,,hitFlop=1,Missing/Partial
BOLLY_2010_0082_hisss,Hisss,2010,10,Thriller,,No,Jennifer Lynch,Mallika Sherawat,Irrfan Khan,,4.0848,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0083_jhootha_hi_sahi,Jhootha Hi Sahi,2010,10,Comedy,,No,Abbas Tyrewala,John Abraham,Pakhi Tyrewala,,7.1193,D,,,35,15.6,hitFlop=1,High
BOLLY_2010_0084_rakta_charitra,Rakta Charitra,2010,10,Action,,No,Ram Gopal Verma,Vivek Oberoi,Sudeep,"Vistaar Religare Film Fund, Cinergy",3.486,D,,,,,,Missing/Partial
