film_id,canonical_title,display_title,release_year,release_month,release_month_num,release_date,primary_genre,secondary_genre,all_genres,sequel_flag,remake_flag,director,lead_actor_1,lead_actor_2,cast_list,writer_list,production_house,actor_rank_score,actor_tier_proxy,director_rank_score,director_tier_proxy,budget_cr,budget_usd,worldwide_gross_cr,worldwide_gross_usd,domestic_gross_cr,domestic_gross_usd,opening_day_cr,opening_weekend_cr,runtime_minutes,imdb_id,imdb_rating,content_score_clarity,content_score_novelty,content_score_execution,content_score_originality,content_score_structure,content_score_pacing,content_score_engagement,content_score_authenticity,verdict_raw,financial_data_confidence,is_synthetic,source,data_version,last_updated
BOLLY_2013_0346_ek_thi_daayan,Ek Thi Daayan,Ek Thi Daayan,2013,April,4,2013-04-18,Thriller,,Horror | Romance | Thriller,No,,Kannan Iyer,Emraan Hashmi,Huma Qureshi,Emraan Hashmi | Konkona Sen Sharma | Kalki Koechlin | Huma Qureshi,Vishal Bhardwaj (dialogue) | Vishal Bhardwaj (story) | Matthew Robbins (script collaborator) | Mukul Sharma (story),Balaji Motion Pictures,4.721,D,,,24,,40.25,,,,,,,tt2406676,5.7,,,,,,,,,hitFlop=3,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0347_shree,Shree,Shree,2013,April,4,2013-04-26,Thriller,,Sci-Fi,No,,Rajesh Bachchani,Hussain Kuwajerwala,Paresh Ganatra,Hussain Kuwajerwala | Paresh Ganatra | Rio Kapadia | Shivani Tanksale,Rajesh Bachchani,,,,,,,,,,,,,,,tt2826126,6.3,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0348_shootout_at_wadala,Shootout at Wadala,Shootout at Wadala,2013,May,5,2013-05-03,Action,,Action | Crime,No,,Sanjay Gupta,John Abraham,Anil Kapoor,John Abraham | Kangana Ranaut | Anil Kapoor | Vineet Sharma,Sanjay Bhatia (screenplay) | Abhijeet Deshpande (screenplay) | Sanjay Gupta (screenplay) | Sanjay Gupta (story) | Hussain Zaidi (story) | Milap Zaveri (dialogue),Balaji Motion Pictures,7.1193,D,3.4703,D,49,,82,,,,,,,tt2301155,6.0,,,,,,,,,hitFlop=3,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0349_bombay_talkies,Bombay Talkies,Bombay Talkies,2013,May,5,2013-05-03,Drama,,Drama,No,,Anurag Kashyap | Karan Johar | Zoya Akhtar | Dibakar Banerjee,Rani Mukerji,Nawazuddin Siddiqui,Rani Mukerji | Randeep Hooda | Saqib Saleem | Nawazuddin Siddiqui,,"Viacom18 Motion Pictures, Dharma Productions, Excel Entertainment, AKFPL, Sikhya Entertainment",3.932,D,3.0408,D,30,,10,,,,,,,tt2797242,6.6,,,,,,,,,hitFlop=1,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0350_chhota_bheem_and_the_throne_of_bali,Chhota Bheem and the Throne of Bali,Chhota Bheem and the Throne of Bali,2013,May,5,2013-05-03,Fantasy,,Animation,No,,Rajiv Chilaka,,,Rupa Bhimani | Vivaan Bhimani | Parignya Pandya Shah,,Green Gold Animation,,,,,5,,5.38,,,,,,,tt3324810,5.7,,,,,,,,,hitFlop=2,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0351_go_goa_gone,Go Goa Gone,Go Goa Gone,2013,May,5,2013-05-10,Action,,Action | Adventure | Comedy,No,,Raj Nidimoru | Krishna D.K.,Saif Ali Khan,Kunal Khemu,Saif Ali Khan | Kunal Khemu | Vir Das | Anand Tiwari,Krishna D.K. (story) | Kunal Khemu (dialogue) | Sita Menon (dialogue) | Sita Menon (story) | Raj Nidimoru (story) | Raja Sen (additional dialogue),"Eros International, Illuminati Films",5.7211,A,2.993,D,19,,39,,,,,,,tt2436516,6.6,,,,,,,,,hitFlop=4,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0352_gippi,Gippi,Gippi,2013,May,5,2013-05-10,Drama,,Comedy | Drama,No,,Sonam Nair,Riya Vij,Divya Dutta,Divya Dutta | Arbaz Kadwani | Taaha Shah | Doorva Tripathi,Sonam Nair (screenplay),"UTV Motion Pictures, Dharma Productions",,D,,,,,,,,,,,,tt2814372,5.6,,,,,,,,,hitFlop=2,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0353_aurangzeb,Aurangzeb,Aurangzeb,2013,May,5,2013-05-17,Action,,Action | Drama | Thriller,No,,Atul Sabharwal,Arjun Kapoor,Prithviraj Sukumaran,Arjun Kapoor | Prithviraj Sukumaran | Jackie Shroff | Rishi Kapoor,Atul Sabharwal (script),Yash Raj Films,6.5059,C,,,,,35.41,,,,,,,tt2804026,6.5,,,,,,,,,hitFlop=2,Low,,wikipedia,2.0,2026-07-02
BOLLY_2013_0354_i_don_t_luv_u,I Don't Luv U,I Don't Luv U,2013,May,5,,Drama,,Drama,No,,Amit Kasaria,Ruslaan Mumtaz,Chetna Pande,Ruslaan Mumtaz,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0355_beehad_the_ravines,Beehad - The Ravines,Beehad - The Ravines,2013,,,,Drama,,Drama,No,,Krishna Mishra,Vikas Shrivastav,Maan Singh Deep,Vikas Shrivastav,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0356_ishkq_in_paris,Ishkq in Paris,Ishkq in Paris,2013,May,5,2013-05-24,Drama,,Comedy | Romance,No,,Prem Raj,Preity Zinta,Rhehan Malliek,Preity Zinta | Isabelle Adjani | Gaurav Chanana | Fanny Carbonnel,Prem Soni | Preity Zinta,,4.8088,D,,,,,,,,,,,,tt1986040,3.8,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0357_hum_hai_raahi_car_ke,Hum Hai Raahi CAR Ke,Hum Hai Raahi Car Ke,2013,May,5,2013-05-24,Comedy,,Adventure | Romance,No,,Jyotin Goel,Adah Sharma,Dev Goel,Anupam Kher | Sanjay Dutt | Juhi Chawla | Rati Agnihotri,Jyotin Goel,,,D,,,,,,,,,,,,tt2100543,2.7,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0358_zindagi_50_50,Zindagi 50 50,Zindagi 50-50,2013,May,5,2013-05-24,Drama,,Drama,No,,Rajiv S. Ruia,Riya Sen,Rajan Verma,Swati Aggarwal | Arya Babbar | Kurush Deboo | Adi Irani,Bunty Rathore (dialogue) | Rajiv S. Ruia (story) | Rajiv S. Ruia | S. Sachinder (screenplay),,,D,1.1221,D,4.5,,11,,,,,,,tt2929840,2.8,,,,,,,,,hitFlop=4,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0359_yamla_pagla_deewana_2,Yamla Pagla Deewana 2,Yamla Pagla Deewana 2,2013,June,6,2013-06-07,Action,,Action | Comedy | Drama,No,,Sangeeth Sivan,Dharmendra,Sunny Deol,Dharmendra | Sunny Deol | Bobby Deol | Neha Sharma,Jasvinder Bath (screenplay) | Lynda Deol (story),"Sunny Sounds, Stellar Films",3.0997,D,2.7482,D,,,,,,,,,,tt2510874,3.4,,,,,,,,,hitFlop=2,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0360_mere_haule_dost,Mere Haule Dost,Mere Haule Dost,2013,,,2013-06-07,Drama,,Comedy | Drama,No,,Nitin Raghunath,,,Aadil Abedi | Catherine Fallows | Kiran Gadalay | Raghuvardhan Garlapati,Nitin Raghunath,,,,,,,,,,,,,,,tt2589600,,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0361_fukrey,Fukrey,Fukrey,2013,June,6,2013-06-14,Comedy,,Comedy | Drama | Romance,No,,Mrigdeep Singh Lamba,Pulkit Samrat,Manjot Singh,Priya Anand | Richa Chadda | Kapil Dubey | Ali Fazal,Mrigdeep Singh Lamba (additional dialogue) | Mrigdeep Singh Lamba (screenplay) | Vipul Vig (screenplay) | Vipul Vig (story),Excel Entertainment,,C,,,8,,53,,,,,,,tt2806788,6.9,,,,,,,,,hitFlop=5,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0362_ankur_arora_murder_case,Ankur Arora Murder Case,Ankur Arora Murder Case,2013,June,6,2013-06-14,Thriller,,Drama | Thriller,No,,Suhail Tatari,Kay Kay Menon,Paoli Dam,Tisca Chopra | Paoli Dam | Arjun Mathur | Kay Kay Menon,Vikram Bhatt | Shagufta Rafique (dialogue),,2.6256,D,,,7.5,,10,,,,,,,tt2912578,6.5,,,,,,,,,hitFlop=2,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0363_raanjhanaa,Raanjhanaa,Raanjhanaa,2013,June,6,2013-06-21,Drama,,Drama | Romance,No,,Anand L. Rai,Dhanush,Sonam Kapoor,Dhanush | Sonam Kapoor | Mohammed Zeeshan Ayyub | Swara Bhaskar,Himanshu Sharma,"Eros International, Colour Yellow Productions",,B,,,36,,105,,,,,,,tt2359810,7.6,,,,,,,,,hitFlop=4,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0364_enemmy,Enemmy,Enemmy,2013,June,6,2013-06-21,Action,,Action | Crime | Drama,No,,Ashu Trikha,Mithun Chakraborty,Sunil Shetty,Mimoh Chakraborty | Mithun Chakraborty | Yuvika Chaudhry | Zakir Hussain,Dileep Shukla (dialogue) | Ashu Trikha (script) | Ashu Trikha,,2.4335,D,1.1186,D,,,,,,,,,,tt2941856,4.9,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0365_shortcut_romeo,Shortcut Romeo,Shortcut Romeo,2013,June,6,2013-06-21,Thriller,,Action | Crime | Romance,No,,Susi Ganeshan,Neil Nitin Mukesh,Ameesha Patel,Neil Nitin Mukesh | Ameesha Patel | Puja Gupta | Jatin Grewal,Susi Ganesan (story) | Ilashree Goswami (dialogue),,2.7445,D,,,15,,,,,,,,,tt2066062,2.9,,,,,,,,,hitFlop=1,Low,,wikipedia,2.0,2026-07-02
BOLLY_2013_0366_hai_golmaal_in_white_house,Hai Golmaal In White House,Hai Golmaal In White House,2013,September,9,,Comedy,,Comedy,No,,Salar Sheikh,Rajpal Yadav,Govind Namdeo,Rajpal Yadav,,,2.3783,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0367_ghanchakkar,Ghanchakkar,Ghanchakkar,2013,June,6,2013-07-03,Comedy,,Comedy | Crime | Thriller,No,,Rajkumar Gupta,Emraan Hashmi,Vidya Balan,Vidya Balan | Emraan Hashmi | Parvin Dabas | Rajesh Sharma,Raj Kumar Gupta (screenplay) | Parveez Sheikh (screenplay) | Parveez Sheikh (story),UTV Motion Pictures,4.721,D,,,,,,,,,,,,tt2246724,5.9,,,,,,,,,hitFlop=2,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0368_lootera,Lootera,Lootera,2013,July,7,2013-07-05,Romance,,Drama | Romance,No,,Vikramaditya Motwane,Ranveer Singh,Sonakshi Sinha,Ranveer Singh | Sonakshi Sinha | Adil Hussain | Vikrant Massey,Bhavani Iyer (screenplay) | Anurag Kashyap (dialogue) | Vikramaditya Motwane (screenplay),"Balaji Motion Pictures, Phantom Films",6.0024,C,,,32,,46.14,,,,,,,tt2224317,6.9,,,,,,,,,hitFlop=2,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0369_policegiri,Policegiri,Policegiri,2013,July,7,2013-07-05,Action,,Action | Comedy | Drama,No,,K. S. Ravikumar,Sanjay Dutt,Prakash Raj,Sanjay Dutt | Prachi Desai | Prakash Raj | Om Puri,Farhad (dialogue) | Hari (original story) | K.S. Ravikumar (screenplay) | Sajid (dialogue),,5.0026,C,,,,,,,,,,,,tt2861320,4.2,,,,,,,,,hitFlop=2,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0370_sixteen,Sixteen,Sixteen,2013,July,7,2013-07-12,Drama,,Drama | Romance | Thriller,No,,Raj Purohit,Izabelle Leite,Darshan Jariwala,Wamiqa Gabbi | Izabelle Liete | Mehak Manwani | Highphill Mathew,Raj Purohit | Pawan Sony,,,D,,,,,,,,,,,,tt2976172,6.2,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0371_boyss_toh_boyss_hain,Boyss Toh Boyss Hain,Boyss Toh Boyss Hain,2013,July,7,,Comedy,,Comedy,No,,Amit Vats,Raj Kumar Yadav,Anshuman Jha,Raj Kumar Yadav,,,,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0372_shorts,Shorts,Shorts,2013,July,7,2013-07-12,Romance,,Drama,No,,Neeraj Ghaywan,Nawazuddin Siddiqui,Huma Qureshi,Satyakam Anand | Aparajit Bhattacharjee | Richa Chadda | Aditi Khanna,,"PVR Pictures, AKFPL",3.7877,D,,,,,,,,,,,,tt3257168,0.0,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0373_ramaiya_vastavaiya,Ramaiya Vastavaiya,Ramaiya Vastavaiya,2013,July,7,2013-07-19,Action,,Comedy | Family | Romance,No,,Prabhudeva,Girish Kumar,Shruti Haasan,Shruti K. Haasan | Girish Taurani | Randhir Kapoor | Sonu Sood,Shiraz Ahmed (screenplay) | Veeru Potla (story),Tips Industries,,C,,,,,38.34,,,,,,,tt2357926,5.7,,,,,,,,,hitFlop=2,Low,,wikipedia,2.0,2026-07-02
BOLLY_2013_0374_d_day,D Day,D Day,2013,July,7,,Action,,Action,No,,Nikhil Advani,Arjun Rampal,Rishi Kapoor,Arjun Rampal,,"Essel Vision Productions, Emmay Entertainment",3.8011,D,2.3243,D,,,24,,,,,,,,,,,,,,,,,,Low,,wikipedia,2.0,2026-07-02
BOLLY_2013_0375_ship_of_theseus,Ship of Theseus,Ship of Theseus,2013,July,7,,Drama,,Drama,No,,Anand Gandhi,Aida Al-Khashef,Niraj Kabi,Aida Al-Khashef,,UTV Motion Pictures,,,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0376_issaq,Issaq,Issaq,2013,July,7,2013-07-26,Romance,,Drama,No,,Manish Tiwary,Prateik Babbar,Amyra Dastur,Malini Awasthi | Sandeep Bose | Amyra Dastur | Makrand Deshpande,Pawan Sony | Padmaja Thakore | Manish Tiwary,Pen Studios,,D,,,25,,5.37,,,,,,,tt2215163,4.0,,,,,,,,,hitFlop=1,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0377_bajatey_raho,Bajatey Raho,Bajatey Raho,2013,July,7,2013-07-26,Comedy,,Comedy | Drama | Thriller,No,,Shashant Shah,Vinay Pathak,Ranvir Shorey,Tusshar Kapoor | Vinay Pathak | Ranvir Shorey | Vishakha Singh,Zafar Khan (story) | Akshay Verma (dialogue),Eros International,3.1247,D,1.6956,D,,,,,,,,,,tt2848824,5.8,,,,,,,,,hitFlop=2,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0378_luv_u_soniyo,Luv U Soniyo,Luv U Soniyo,2013,July,7,,Romance,,Romance,No,,Joe Rajan,Tanuj Virwani,Neha Hinge,Tanuj Virwani,,Viacom18 Motion Pictures,,,,,,,2.7,,,,,,,,,,,,,,,,,,Low,,wikipedia,2.0,2026-07-02
BOLLY_2013_0379_nasha,Nasha,Nasha,2013,July,7,2013-07-26,Comedy,,Drama | Romance | Thriller,No,,Amit Saxena,Poonam Pandey,Shivam,Ranbir Chakma | Nikhil Desai | Raj Kesaria | Rohan Khurana,Ajit Rajpal,,,,,,,,8,,,,,,,tt3044882,3.2,,,,,,,,,hitFlop=2,Low,,wikipedia,2.0,2026-07-02
BOLLY_2013_0380_rabba_main_kya_karoon,Rabba Main Kya Karoon,Rabba Main Kya Karoon,2013,August,8,2013-08-02,Comedy,,Comedy | Romance,No,,Amrit Sagar Chopra,Arshad Warsi,Akash Chopra,Tinnu Anand | Raj Babbar | Akash Chopra | Shakti Kapoor,Aakash Kaushik,,3.5596,D,,,,,,,,,,,,tt2416294,,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0381_chor_chor_super_chor,Chor chor super chor,Chor Chor Super Chor,2013,August,8,2013-08-02,Comedy,,Comedy | Drama | Thriller,No,,K. Rajesh,Deepak Dobriyal,Anshul Kataria,Deepak Dobriyal | Priya Bhatija | Anshul Kataria | Paru Uma,Rajesh. K. (story) | Ani Thomas (screenplay) | Radhakrishnan Cherpu (screenplay) | Alok Chaturvedi (dialogue writer) | Rajesh. K.,,2.3843,D,,,,,,,,,,,,tt2337292,8.0,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0382_b_a_pass,B.A. Pass,B.A. Pass,2013,August,8,,Thriller,,Thriller,No,,Ajay Bahl,Shilpa Shukla,Shadab Kamal,Shilpa Shukla,,,,,,,,,28.4,,,,,,,,,,,,,,,,,,Low,,wikipedia,2.0,2026-07-02
BOLLY_2013_0383_calapor,Calapor,Calapor,2013,August,8,,Drama,,Drama,No,,Dinesh P. Bhonsle,Rituparna Sengupta,Priyanshu Chatterjee,Rituparna Sengupta,,,1,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0384_love_in_bombay,Love in Bombay,Love in Bombay,2013,August,8,,Comedy,,Comedy,No,,Joy Mukherjee,Joy Mukherjee,Waheeda Rehman,Joy Mukherjee,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0385_once_upon_ay_time_in_mumbai_dobaara,Once Upon ay Time in Mumbai Dobaara!,Once Upon ay Time in Mumbai Dobaara!,2013,August,8,,Action,,Action,No,,Milan Luthria,Akshay Kumar,Imran Khan,Akshay Kumar,,Balaji Motion Pictures,6.3805,C,3.6283,D,85,,91.7,,,,,,,,,,,,,,,,,hitFlop=2,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0386_madras_cafe,Madras Cafe,Madras Cafe,2013,August,8,2013-08-23,Action,,Action | Drama | History,No,,Shoojit Sircar,John Abraham,Nargis Fakhri,John Abraham | Nargis Fakhri | Rashi Khanna | Avijit Dutt,Shubhendu Bhattacharya (story) | Juhi Chaturvedi (dialogue) | Somnath Dey (story) | Dusan Tolmac (additional screenplay) | Dusan Tolmac (script consultant),Viacom18 Motion Pictures,7.1193,D,3.8135,D,35,,67,,,,,,,tt2855648,7.6,,,,,,,,,hitFlop=3,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0387_satyagraha,Satyagraha,Satyagraha,2013,August,8,2013-08-30,Drama,,Drama,No,,Prakash Jha,Amitabh Bachchan,Ajay Devgn,Kareena Kapoor | Amitabh Bachchan | Ajay Devgn | Arjun Rampal,Prakash Jha | Anjum Rajabali,UTV Motion Pictures,7.0113,B,3.6075,D,,,,,,,,,,tt2275802,5.9,,,,,,,,,hitFlop=2,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0388_zanjeer,Zanjeer,Zanjeer,2013,September,9,2013-09-06,Action,,Action,No,,Apoorva Lakhia,Ram Charan,Priyanka Chopra,Ram Charan | Priyanka Chopra | Sanjay Dutt | Prakash Raj,Salim Khan (original story) | Javed Akhtar (original story) | Apoorva Lakhia (story) | Chintan Gandhi (dialogue) | Suresh Nair (screenplay),Reliance Entertainment,,B,1.8339,D,,,,,,,,,,tt2357489,3.4,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0389_shuddh_desi_romance,Shuddh Desi Romance,Shuddh Desi Romance,2013,September,9,2013-09-06,Comedy,,Comedy | Drama | Romance,No,,Maneesh Sharma,Sushant Singh Rajput,Parineeti Chopra,Sushant Singh Rajput | Parineeti Chopra | Vaani Kapoor | Rishi Kapoor,Jaideep Sahni,Yash Raj Films,,C,,,22,,76,,,,,,,tt2988272,5.8,,,,,,,,,hitFlop=5,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0390_siddharth,Siddharth,Siddharth,2013,September,9,,Drama,,Drama,No,,Richie Mehta,Rajesh Tailang,,Rajesh Tailang,,Zeitgeist Films,,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0391_john_day,John Day,John Day,2013,September,9,2013-09-13,Action,,Drama,No,,Ahishor Solomon,Naseeruddin Shah,Randeep Hooda,Naseeruddin Shah | Randeep Hooda | Taran Bajaj | Harsh Chhaya,Kartik Krishnan (dialogue) | Ahishor Solomon,,3.7695,D,,,,,,,,,,,,tt2699840,5.6,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0392_horror_story,Horror Story,Horror Story,2013,September,9,2014-05-02,Drama,,Horror,No,,Ayush Raina,Karan Kundra,Nishant Singh Malkani,Aparna Bajpai | Ravish Desai | Karan Kundra | Nandini Vaid,Mohan Azaad | Vikram Bhatt | Sukhmani Sadana (dialogue writer),,,,,,6,,7,,,,,,,tt3177332,4.5,,,,,,,,,hitFlop=2,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0393_phata_poster_nikhla_hero,Phata Poster Nikhla Hero,Phata Poster Nikhla Hero,2013,September,9,2013-09-20,Action,,Action | Comedy,No,,Rajkumar Santoshi,Shahid Kapoor,Ileana D'Cruz,Shahid Kapoor | Ileana | Padmini Kolhapure | Mukesh Tiwari,Rajkumar Santoshi,Tips Industries,5.7659,C,2.744,D,54,,72,,,,,,,tt2615584,4.9,,,,,,,,,hitFlop=2,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0394_the_lunchbox,The Lunchbox,The Lunchbox,2013,May,5,2013-09-20,Drama,,Drama | Romance,No,,Ritesh Batra,Irrfan Khan,Nawazuddin Siddiqui,Irrfan Khan | Nimrat Kaur | Nawazuddin Siddiqui | Lillete Dubey,Ritesh Batra (screenplay) | Vasan Bala (hindi dialogue writer),"Sony Pictures Classics, UTV Motion Pictures, Dharma Productions, DAR Motion Pictures, NFDC, Essel Vision Productions, Sikhya Entertainment, AKFPL",2.9178,D,,,22,,,,,,,,,tt2350496,7.8,,,,,,,,,hitFlop=4,Low,,wikipedia,2.0,2026-07-02
BOLLY_2013_0395_warning,Warning,Warning,2013,September,9,2013-09-27,Thriller,,Adventure | Thriller,No,,Gurmmeet Singh,Santosh Barmola,Suzana Rodrigues,Santosh Barmola | Jitin Gulati | Manjari Phadnis | Suzana Rodrigues,Rajesh Chawla | Tejpal Singh Rawat,Eros International,,,,,,,,,,,,,,tt3138602,4.7,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0396_maazii,Maazii,Maazii,2013,September,9,2013-09-27,Drama,,Thriller,No,,Jaideep Chopra,Sumeet Nijhawan,Mona Wasu,Mohammed Zeeshan Ayyub | Ashok Banthia | Devender Chaudhary | Manish Chaudhary,Sumit Nijhawan | Shirish Sharma,,,,,,,,,,,,,,,tt2554042,0.0,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0397_prague,Prague,Prague,2013,,,2013-09-27,Drama,,Mystery | Romance | Thriller,No,,Ashish R Shukla,Chandan Roy Sanyal,Elena Kazan,Chandan Roy Sanyal | Arfi Lamba | Kumar Mayank | Sonia Bindra,Rohit Khaitan (conceived by) | Akshendra Mishra (additional screenplay) | Sumit Saxena (screenplay) | Ashish R. Shukla (screenplay) | Ashish R. Shukla (story) | Vijay Verma (additional screenplay),,,,,,,,,,,,,,,tt2401719,,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0398_super_model,Super Model,Super Model,2013,,,,Drama,,Drama,No,,Navin Batra,Veena Malik,Ashmit Patel,Veena Malik,,,,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0399_besharam,Besharam,Besharam,2013,October,10,2013-10-02,Action,,Comedy | Romance,No,,Abhinav Kashyap,Ranbir Kapoor,Pallavi Sharda,Ranbir Kapoor | Pallavi Sharda | Rishi Kapoor | Neetu Singh,Rajeev Barnwal | Abhinav Kashyap,Reliance Entertainment,7.6986,B,,,83,,102.85,,,,,,,tt2576450,3.5,,,,,,,,,hitFlop=2,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0400_war_chhod_na_yaar,War Chhod Na Yaar,War Chhod Na Yaar,2013,October,10,,Comedy,,Comedy,No,,Faraz Haider,Sharman Joshi,Jaaved Jaaferi,Sharman Joshi,,,3.6904,D,,,14,,,,,,,,,,,,,,,,,,,,Low,,wikipedia,2.0,2026-07-02
BOLLY_2013_0401_baat_bann_gayi,Baat Bann Gayi,Baat Bann Gayi,2013,October,10,2013-10-11,Comedy,,Comedy | Romance,No,,Shuja Ali,Ali Fazal,Gulshan Grover,Anisa Butt | Ali Fazal | Gulshan Grover | Razzak Khan,Shuja Ali | Akshay Singh,,1.9757,C,,,,,,,,,,,,tt2222716,,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0402_ekk_thee_sanam,Ekk Thee Sanam,Ekk Thee Sanam,2013,October,10,,Drama,,Drama,No,,Monish Kaushal,[95],,[95],,,,,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0403_boss,Boss,Boss,2013,October,10,2013-10-16,Action,,Action | Comedy | Drama,No,,Anthony D'Souza,Akshay Kumar,Mithun Chakraborty,Akshay Kumar | Shiv Pandit | Mithun Chakraborty | Ronit Roy,Siby K. Thomas (original story) | Udaykrishnan (original story) | Farhad | Sajid,"Viacom18 Motion Pictures, Cape of Good Films",6.3805,C,,,70,,102.82,,,,,,,tt2571140,5.1,,,,,,,,,hitFlop=2,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0404_shahid,Shahid,Shahid,2013,September,9,,Drama,,Drama,No,,Hansal Mehta,Rajkummar Rao,Tigmanshu Dhulia,Rajkummar Rao,,"UTV Spotboy, AKFPL",3.9271,D,1.4466,D,0.65,,3.7,,,,,,,,,,,,,,,,,hitFlop=5,High,,wikipedia,2.0,2026-07-02
BOLLY_2013_0405_wake_up_india,Wake Up India,Wake Up India,2013,October,10,,Drama,,Drama,No,,Babloo Seshadri,Sai Tamhankar,Manoj Joshi,Sai Tamhankar,,,,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0406_dilli_gang,Dilli Gang,Dilli Gang,2013,October,10,,Thriller,,Thriller,No,,Ashish Tyagi,Darshan Jariwala,Neena Kulkarni,Darshan Jariwala,,,2.6244,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2013_0407_mickey_virus,Mickey Virus,Mickey Virus,2013,October,10,2013-10-25,Comedy,,Comedy | Thriller,No,,Saurabh Varma,Manish Paul,Varun Badola,Manish Paul | Dean Alexandrou | Elli Avram | Varun Badola,Elvin Raja (script co-writer) | Kuldeep Ruhil (script consultant & dialogue) | Saurabh Varma (screenplay),"DAR Motion Pictures, Awesome Films, Trilogic Media",,D,,,11,,,,,,,,,tt2796318,6.1,,,,,,,,,hitFlop=2,Low,,wikipedia,2.0,2026-07-02
