film_id,canonical_title,display_title,release_year,release_month,release_month_num,release_date,primary_genre,secondary_genre,all_genres,sequel_flag,remake_flag,director,lead_actor_1,lead_actor_2,cast_list,writer_list,production_house,actor_rank_score,actor_tier_proxy,director_rank_score,director_tier_proxy,budget_cr,budget_usd,worldwide_gross_cr,worldwide_gross_usd,domestic_gross_cr,domestic_gross_usd,opening_day_cr,opening_weekend_cr,runtime_minutes,imdb_id,imdb_rating,content_score_clarity,content_score_novelty,content_score_execution,content_score_originality,content_score_structure,content_score_pacing,content_score_engagement,content_score_authenticity,verdict_raw,financial_data_confidence,is_synthetic,source,data_version,last_updated
BOLLY_2010_0011_dulha_mil_gaya,Dulha Mil Gaya,Dulha Mil Gaya,2010,January,1,2010-01-08,Comedy,,Comedy | Drama,No,,Muddassar Aziz,Shah Rukh Khan,Fardeen Khan,Sushmita Sen | Fardeen Khan | Ishita Sharma | Shah Rukh Khan,Mudassar Aziz (story) | Mudassar Aziz | Neeraj Udhwani (script associate) | Vivek Vaswani (story),,9.2267,A,,,25,,,,,,,,,tt1182884,4.3,,,,,,,,,hitFlop=1,Low,,wikipedia,2.0,2026-07-02
BOLLY_2010_0012_pyaar_impossible,Pyaar Impossible!,Pyaar Impossible!,2010,January,1,2010-01-08,Comedy,,Comedy | Romance,No,,Jugal Hansraj,Priyanka Chopra,Uday Chopra,Uday Chopra | Priyanka Chopra | Dino Morea | Rahul Vohra,Uday Chopra (story),Yash Raj Films,8.1369,B,,,14,,,,,,,,,tt1351224,4.9,,,,,,,,,hitFlop=2,Low,,wikipedia,2.0,2026-07-02
BOLLY_2010_0013_chance_pe_dance,Chance Pe Dance,Chance Pe Dance,2010,January,1,2010-01-15,Comedy,,Comedy | Drama | Romance,No,,Ken Ghosh,Shahid Kapoor,Mohnish Bahl,Shahid Kapoor | Genelia D'Souza | Mohnish Bahl | Satish Shah,Nupur Asthana (screenplay) | Manu Rishi Chadha (additional dialogue) | Ken Ghosh (screenplay) | Kiran Kotrial (dialogues) | Irfan Siddiqui (lyrics),UTV Motion Pictures,5.7659,C,2.1915,D,29,,16.3,,,,,,,tt1392744,4.8,,,,,,,,,hitFlop=1,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0014_hello_hum_lallan_bol_rahe_hain,Hello! Hum Lallan Bol Rahe Hain,Hello! Hum Lallan Bol Rahe Hain,2010,January,1,,Drama,,Drama,No,,Dileep Shukla,Rajpal Yadav,,Rajpal Yadav,,,2.3783,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0015_veer,Veer,Veer,2010,January,1,2010-01-22,Action,,Action | Adventure | Drama,No,,Anil Sharma,Salman Khan,Zarine Khan,Salman Khan | Mithun Chakraborty | Jackie Shroff | Sohail Khan,Shailesh Verma (screenplay) | Shaktimaan Talwar (screenplay) | Salman Khan (story),Eros International,9.2082,D,5.7345,C,,,,,,,,,,tt1185412,4.6,,,,,,,,,hitFlop=3,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0016_ishqiya,Ishqiya,Ishqiya,2010,January,1,2010-01-29,Comedy,,Comedy | Drama | Romance,No,,Abhishek Chaubey,Naseeruddin Shah,Vidya Balan,Naseeruddin Shah | Vidya Balan | Arshad Warsi | Salman Shahid,Vishal Bhardwaj (screenplay) | Sabrina Dhawan (screenplay) | Abhishek Chaubey (screenplay) | Vishal Bhardwaj (dialogues),Shemaroo Entertainment,3.7695,D,,,19,,31.81,,,,,,,tt1345777,6.4,,,,,,,,,hitFlop=3,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0017_rann,Rann,Rann,2010,January,1,2010-01-29,Drama,,Drama | Mystery,No,,Ram Gopal Varma,Amitabh Bachchan,Sudeep,Amitabh Bachchan | Ritesh Deshmukh | Gul Panag | Paresh Rawal,Rohit G. Banawlikar (story) | Sarim Momin (lyrics) | Prashant Pandey (lyrics) | Sandip Singh (lyrics) | Vayu (lyrics),"Vistaar Religare Film Fund, Cinergy, Friday Entertainment Venture",7.0113,B,3.7435,D,,,,,,,,,,tt1451797,6.9,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0018_the_hangman,The Hangman,The Hangman,2010,February,2,,Drama,,Drama,No,,Vishal Bhandari,Om Puri,Shreyas Talpade,Om Puri,,,4.1779,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0019_striker,Striker,Striker,2010,February,2,2010-02-05,Action,,Crime | Drama,No,,Chandan Arora,Siddharth Narayan,Aditya Pancholi,Siddharth | Ankur Vikal | Anupam Kher | Vidya Malvade,Sunita Rajwar (story) | Iqbal Merchant (story) | Chandan Arora (screenplay) | Sunita Rajwar (screenplay) | Sagar Kapoor (dialogues) | Vijay Maurya (dialogues) | Pankaj Saraswat (dialogues) | Nitin Raikwar (lyrics) | Jeetendra Joshi (lyrics) | Prashant Ingole (lyrics),"Indian Films, Studio 18",,D,1.0638,D,,,,,,,,,,tt1573482,6.5,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0020_aakhari_decision,Aakhari Decision,Aakhari Decision,2010,February,2,2010-02-19,Action,,Action | Drama | Thriller,No,,Deepak Bandhu,Anant Jog,Sumona Chakravarti,Paul Sidhu | Sumona Chakravarti | Anant Jog | Nagesh Bhonsle,Rohit Karn Batra (story) | Umair Muhajir (dialogue),,,,,,,,,,,,,,,tt1606162,2.0,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0021_click,Click,Click,2010,February,2,2010-02-19,Thriller,,Drama | Fantasy | Mystery,No,,Sangeeth Sivan,Shreyas Talpade,Sadha,Shreyas Talpade | Sada | Sneha Ullal | Rehan Khan,Sameer Arora (dialogue) | Vivek Buddhakoti (dialogue) | Harish Nayar (story),Pritish Nandy Communications,2.8077,D,2.7482,D,7.5,,1.6,,,,,,,tt1596723,3.6,,,,,,,,,hitFlop=1,High,,wikipedia,2.0,2026-07-02
